"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000471229.7",0.896843246392578,6.34774480349105,13.6576934801473,1.17344586726084e-05,0.010515840057749,4.20235891789807
"ENST00000257770.8",-2.95633238111483,3.53470390604094,-17.2712806466222,3.06260656488133e-06,0.00997728107576095,4.20185260401391
"ENST00000367558.6",1.58370478519826,4.5135751079567,14.6072802346644,7.99887716315643e-06,0.00997728107576095,4.19854944490702
"ENST00000310447.10",-0.813417582082455,5.84998452812555,-13.6691148105031,1.1678761141503e-05,0.010515840057749,4.17460725583603
"ENST00000250383.11",-1.28466913681795,4.70154930928469,-14.2445406131381,9.23331547338207e-06,0.0103058875483717,4.15918065110541
"ENST00000259874.6",1.00853694819433,6.8749167089027,13.5330429793446,1.23629216238062e-05,0.010515840057749,4.15713174909086
"ENST00000371429.4",-1.21022385397947,4.50476554521489,-14.3131653325386,8.98361264662902e-06,0.0102360779764466,4.12594954694854
"ENST00000266744.4",2.09550406884996,6.29880471760343,13.4122043807174,1.30099479784458e-05,0.010515840057749,4.09309168680336
"ENST00000560153.2",1.6080726211242,5.67931654536309,13.506684081553,1.25007978960583e-05,0.010515840057749,4.08492981756731
"ENST00000307365.4",-1.18669296949203,4.78887634503736,-13.8874018582292,1.06712865667843e-05,0.010515840057749,4.07126782871073
"ENST00000295228.4",-0.889906459380331,6.69340587281825,-13.2978160326232,1.36590954777411e-05,0.010515840057749,4.05940804605302
"ENST00000262138.4",-0.690525604989586,8.60823916305392,-13.6006463121203,1.20173380225792e-05,0.010515840057749,4.03207427435014
"ENST00000269593.5",-0.666879336745984,7.43837265739788,-13.282980437426,1.37460239831151e-05,0.010515840057749,4.02246570212959
"ENST00000271588.9",-0.93879720783968,5.44852457601092,-13.3640968112591,1.32784724258535e-05,0.010515840057749,4.01301129227418
"ENST00000453464.3",-0.946454521601776,5.67973671937959,-13.2416728546932,1.39914836208938e-05,0.010515840057749,3.99164408997305
"ENST00000272542.8",-1.03205362366552,5.49527125551979,-13.2066070767555,1.42038710985193e-05,0.010515840057749,3.95729388150581
"ENST00000555004.3",-0.869813199517854,7.05196663412542,-13.0802418647421,1.50010629981794e-05,0.0107781891369327,3.95585148454402
"ENST00000377411.5",0.811479602234852,5.74016039131167,13.1237676474806,1.4720722711414e-05,0.0107347435537688,3.95182082167233
